id,numero,date_debut,date_signature,date_fin,statut,departement,chemin_fichier,niveau_gravite_specifique_aep,ressource_aep_communique,regle_gestion,arrete_cadre.id,arrete_cadre.numero,arrete_cadre.date_debut,arrete_cadre.date_fin,arrete_cadre.chemin_fichier,zones_alerte.id,zones_alerte.type,zones_alerte.code,zones_alerte.nom,zones_alerte.niveau_gravite,zones_alerte.id_sandre,zones_alerte.communes
20958,2011-1-361,2011-04-13,2011-04-12,2011-07-04,abroge,18,,null,null,undefined,,,,,,,,,,,,
20939,2011101-0001,2011-04-13,2011-04-11,2011-04-20,abroge,16,,null,null,undefined,,,,,,,,,,,,
20949,2011105-0002,2011-04-16,2011-04-15,2011-05-10,abroge,16,,null,null,undefined,,,,,,,,,,,,
20957,Dept79-1,2011-04-18,2011-04-15,2011-04-22,abroge,79,,null,null,undefined,,,,,,,,,,,,
21384,DDT/SEEP/2011/0006,2011-04-19,2011-04-19,2011-06-06,abroge,89,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21384/arrete_alerte_19_04_2011.pdf,null,null,undefined,,,,,,,,,,,,
20966,2011101-0001,2011-04-21,2011-04-19,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
20961,2011109-0003,2011-04-21,2011-04-19,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
20963,201111160001,2011-04-22,2011-04-21,2011-04-27,abroge,16,,null,null,undefined,,,,,,,,,,,,
20962,2010-DDT-848,2011-04-22,2011-04-20,2011-05-13,abroge,58,,null,null,undefined,,,,,,,,,,,,
20984,2011-3136,2011-04-23,2011-04-22,2011-05-05,abroge,69,,null,null,undefined,,,,,,,,,,,,
20987,AP1 Mignon Courance 9,2011-04-23,2011-04-22,2011-06-12,abroge,79,,null,null,undefined,,,,,,,,,,,,
20986,Dept79-2,2011-04-25,2011-04-22,2011-06-12,abroge,79,,null,null,undefined,,,,,,,,,,,,
20964,AP1 Clain 5a,2011-04-25,2011-04-20,2011-04-30,abroge,79,,null,null,undefined,,,,,,,,,,,,
20968,2011116-0002,2011-04-27,2011-04-26,2011-05-18,abroge,16,,null,null,undefined,,,,,,,,,,,,
20969,2011116-0003,2011-04-27,2011-04-26,2011-05-02,abroge,16,,null,null,undefined,,,,,,,,,,,,
20967,2011116-0001,2011-04-27,2011-04-26,2011-05-18,abroge,16,,null,null,undefined,,,,,,,,,,,,
20970,2011117-0001,2011-04-28,2011-04-27,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
20971,11-DDTM-402,2011-04-29,2011-04-28,2011-05-15,abroge,85,,null,null,undefined,,,,,,,,,,,,
20979,60-29/04/2011,2011-04-30,2011-04-29,2011-05-19,abroge,60,,null,null,undefined,,,,,,,,,,,,
21037,20111190017,2011-04-30,2011-04-29,2011-07-30,abroge,25,,null,null,undefined,,,,,,,,,,,,
20985,AP2 Clain 5a,2011-05-01,2011-04-29,2011-06-12,abroge,79,,null,null,undefined,,,,,,,,,,,,
21637,2011084-0003,2011-05-01,2011-04-29,2011-05-31,abroge,19,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21637/arrete_interdiction_vidange_2011_04_29.pdf,null,null,undefined,,,,,,,,,,,,
20988,AP1 Sèvre Amont 10a,2011-05-01,2011-04-29,2011-06-12,abroge,79,,null,null,undefined,,,,,,,,,,,,
20980,2011122-0001,2011-05-03,2011-05-02,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21119,2,2011-05-03,2011-05-02,2011-05-17,abroge,80,,null,null,undefined,,,,,,,,,,,,
21035,2011122-0008,2011-05-03,2011-05-02,2011-08-15,abroge,26,,null,null,undefined,,,,,,,,,,,,
22149,2011-01,2011-05-03,2011-05-03,2011-05-24,abroge,35,,null,null,undefined,,,,,,,,,,,,
20983,SPE-DDT N° 2011-01,2011-05-04,2011-05-03,2011-05-10,abroge,49,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/20983/arr%C3%AAt%C3%A9%202011-01.pdf,null,null,undefined,,,,,,,,,,,,
20991,2011124-0020,2011-05-05,2011-05-04,2011-05-17,abroge,38,,null,null,undefined,,,,,,,,,,,,
21014,2011123-0004,2011-05-05,2011-05-03,2011-05-13,abroge,36,,null,null,undefined,,,,,,,,,,,,
21002,110466,2011-05-06,2011-05-05,2011-05-27,abroge,24,,null,null,undefined,,,,,,,,,,,,
20999,110464,2011-05-06,2011-05-05,2011-05-19,abroge,24,,null,null,undefined,,,,,,,,,,,,
20990,2011/BPUP/56,2011-05-06,2011-04-29,2011-05-22,abroge,44,,null,null,undefined,,,,,,,,,,,,
20997,110463,2011-05-06,2011-05-05,2011-05-13,abroge,24,,null,null,undefined,,,,,,,,,,,,
21001,110465,2011-05-06,2011-05-05,2011-05-13,abroge,24,,null,null,undefined,,,,,,,,,,,,
20994,2011/DDT/SEPR/195,2011-05-06,2011-05-04,2011-05-25,abroge,77,,null,null,undefined,,,,,,,,,,,,
21023,2011-798,2011-05-07,2011-05-06,2011-05-31,abroge,39,,null,null,undefined,,,,,,,,,,,,
21036,110490,2011-05-07,2011-05-06,2011-05-12,abroge,24,,null,null,undefined,,,,,,,,,,,,
21039,2011-126-0003,2011-05-09,2011-05-06,2011-06-05,abroge,32,,null,null,undefined,21289,2004-07-06_Midouze,2004-07-06,,,,,,,,,
21041,2011-126-0004,2011-05-09,2011-05-06,2011-05-30,abroge,32,,null,null,undefined,21289,2004-07-06_Midouze,2004-07-06,,,,,,,,,
21094,2011-126-0008,2011-05-09,2011-05-06,2011-05-22,abroge,07,,null,null,undefined,22325,2010-169-9,2010-06-18,,,,,,,,,
20998,2011126-0012,2011-05-09,2011-05-06,2011-06-06,abroge,47,,null,null,undefined,23387,2002-162-51,2002-05-24,,,,,,,,,
21004,2011-3243,2011-05-10,2011-05-06,2011-06-13,abroge,69,,null,null,undefined,,,,,,,,,,,,
21007,2011-1-457,2011-05-10,2011-05-09,2011-05-27,abroge,18,,null,null,undefined,,,,,,,,,,,,
22069,3,2011-05-10,2011-05-10,2011-05-31,abroge,37,,null,null,undefined,,,,,,,,,,,,
21003,2011129-0003,2011-05-10,2011-05-09,2011-05-11,abroge,16,,null,null,undefined,,,,,,,,,,,,
21005,2011-129-5,2011-05-10,2011-05-09,2011-09-30,abroge,05,,null,null,undefined,,,,,,,,,,,,
21495,S1,2011-05-11,2011-05-11,2011-12-31,abroge,59,,null,null,undefined,21494,1,2006-04-27,,,,,,,,,
21016,2011130-0002,2011-05-11,2011-05-10,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21009,SPE-DDT N° 2011-02,2011-05-11,2011-05-10,2011-05-17,abroge,49,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21009/arr%C3%AAt%C3%A9%202011-02.pdf,null,null,undefined,,,,,,,,,,,,
21017,2011130-0003,2011-05-11,2011-05-10,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21314,1,2011-05-11,2011-05-11,2011-12-31,abroge,62,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21314/ap%2011052011%20vigilance.pdf,null,null,undefined,21313,1,2006-04-27,2012-03-02,,,,,,,,
21022,2011131-0004,2011-05-12,2011-05-11,2011-05-17,abroge,16,,null,null,undefined,,,,,,,,,,,,
21031,DDTM/SEBF/11-092,2011-05-12,2011-05-09,2011-10-31,abroge,27,,null,null,undefined,,,,,,,,,,,,
21025,DDTM/SEBF/11-096,2011-05-12,2011-05-09,2011-06-07,abroge,27,,null,null,undefined,,,,,,,,,,,,
21021,2011131-0003,2011-05-12,2011-05-11,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21024,DDTM/SEBF/11-095,2011-05-12,2011-05-09,2011-10-31,abroge,27,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21024/avre%20amont%20crise%20renforc%C3%A9e%20-%2009-05-2011.pdf,null,null,undefined,,,,,,,,,,,,
21059,110502,2011-05-13,2011-05-06,2011-05-19,abroge,24,,null,null,undefined,,,,,,,,,,,,
21011,2011130-0001,2011-05-13,2011-05-10,2011-05-27,abroge,47,,null,null,undefined,23387,2002-162-51,2002-05-24,,,,,,,,,
21370,2,2011-05-13,2011-05-13,2011-11-30,abroge,76,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21370/arr%C3%AAt%C3%A9%20interdiction%20austreberthe%20saffimbec%20sign%C3%A9%20le%2013%20mai.pdf,null,null,undefined,21373,0,2010-06-29,2013-03-01,,,,,,,,
21369,1,2011-05-13,2011-05-13,2011-11-30,abroge,76,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21369/arr%C3%AAt%C3%A9%20interdiction%20rivi%C3%A8re%20scie%20sign%C3%A9%20le%2013%20mai.pdf,null,null,undefined,21373,0,2010-06-29,2013-03-01,,,,,,,,
21056,110499,2011-05-14,2011-05-13,2011-05-19,abroge,24,,null,null,undefined,,,,,,,,,,,,
21058,110500,2011-05-14,2011-05-13,2011-05-19,abroge,24,,null,null,undefined,,,,,,,,,,,,
21130,2011-DDT-968,2011-05-14,2011-05-13,2011-06-12,abroge,58,,null,null,undefined,,,,,,,,,,,,
21060,110501,2011-05-14,2011-05-13,2011-05-19,abroge,24,,null,null,undefined,,,,,,,,,,,,
21052,DDT/SEEF n°2011-286,2011-05-14,2011-05-13,2011-08-01,abroge,73,,null,null,undefined,,,,,,,,,,,,
21334,2011132-0005,2011-05-14,2011-05-12,2011-05-20,abroge,36,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21334/arr%C3%AAt%C3%A9%20n%C2%B0%202%20du%2012%2005%202011version%20def.pdf,null,null,undefined,,,,,,,,,,,,
21055,110498,2011-05-14,2011-05-13,2011-06-06,abroge,24,,null,null,undefined,,,,,,,,,,,,
21046,CommuniquéPresse,2011-05-14,2011-05-13,2011-08-05,abroge,42,,null,null,undefined,,,,,,,,,,,,
21057,DDT/SER/11 n°208,2011-05-16,2011-05-16,2011-05-30,abroge,70,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21057/2011-05-16_ap-s%C3%A9cheresse_niveau1_ddt70.pdf,null,null,undefined,,,,,,,,,,,,
21042,2011133-0005,2011-05-16,2011-05-13,2011-05-18,abroge,16,,null,null,undefined,,,,,,,,,,,,
21128,2011 81002Assou,2011-05-16,2011-05-13,2011-05-26,abroge,81,,null,null,undefined,,,,,,,,,,,,
21127,2011 81001Agros,2011-05-16,2011-05-13,2011-05-31,abroge,81,,null,null,undefined,,,,,,,,,,,,
21096,2011-133-0003,2011-05-16,2011-05-13,2011-05-20,abroge,32,,null,null,undefined,21289,2004-07-06_Midouze,2004-07-06,,,,,,,,,
21047,11-DDTM-431,2011-05-16,2011-05-13,2011-05-25,abroge,85,,null,null,undefined,,,,,,,,,,,,
21129,2011 81003Cérou,2011-05-16,2011-05-16,2011-05-26,abroge,81,,null,null,undefined,,,,,,,,,,,,
22198,01,2011-05-16,2011-05-16,2011-08-03,abroge,01,,null,null,undefined,,,,,,,,,,,,
21525,2011/1625,2011-05-17,2011-05-17,2011-07-29,abroge,94,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21525/2011%2005%2017%20-%20arr%C3%AAt%C3%A9%202011-1625%20seuil%20d%27alerte.pdf,null,null,undefined,,,,,,,,,,,,
21120,3,2011-05-18,2011-05-17,2011-05-31,abroge,80,,null,null,undefined,,,,,,,,,,,,
21530,2011138-0034,2011-05-18,2011-05-18,2011-05-31,abroge,38,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21530/ap%20s%C3%A9cheresse%202011138-0034%20du%2018%20mai%202011.pdf,null,null,undefined,,,,,,,,,,,,
21062,2011137-0003,2011-05-18,2011-05-17,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21067,SPE-DDT N° 2011-03,2011-05-18,2011-05-17,2011-05-24,abroge,49,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21067/arr%C3%AAt%C3%A9%202011-03.pdf,null,null,undefined,,,,,,,,,,,,
21070,2011137-0004,2011-05-18,2011-05-17,2011-06-05,abroge,28,,null,null,undefined,,,,,,,,,,,,
21080,2011138-0004,2011-05-19,2011-05-18,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21084,2011138-0008,2011-05-19,2011-05-18,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21073,NOR:2350-11-00027,2011-05-19,2011-05-18,2011-05-31,abroge,61,,null,null,undefined,,,,,,,,,,,,
21083,2011138-0007,2011-05-19,2011-05-18,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21088,2011138-0012,2011-05-19,2011-05-18,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21086,2011138-0010,2011-05-19,2011-05-18,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21079,2011138-0003,2011-05-19,2011-05-18,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21091,2011138-0015,2011-05-19,2011-05-18,2011-07-28,abroge,16,,null,null,undefined,,,,,,,,,,,,
21087,2011138-0011,2011-05-19,2011-05-18,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21090,2011138-0014,2011-05-19,2011-05-18,2011-05-26,abroge,16,,null,null,undefined,,,,,,,,,,,,
21089,2011138-0013,2011-05-19,2011-05-18,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21085,2011138--0009,2011-05-19,2011-05-18,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21082,2011138-0006,2011-05-19,2011-05-18,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21081,2011138-0005,2011-05-19,2011-05-18,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21078,2011138-0002,2011-05-19,2011-05-18,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21133,110534,2011-05-20,2011-05-19,2011-05-27,abroge,24,,null,null,undefined,,,,,,,,,,,,
21131,110532,2011-05-20,2011-05-19,2011-05-27,abroge,24,,null,null,undefined,,,,,,,,,,,,
21077,2011139-0002,2011-05-20,2011-05-19,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21135,110536,2011-05-20,2011-05-19,2011-06-09,abroge,24,,null,null,undefined,,,,,,,,,,,,
21124,110530,2011-05-20,2011-05-19,2011-05-27,abroge,24,,null,null,undefined,,,,,,,,,,,,
21075,2011139-0001,2011-05-20,2011-05-19,2011-06-15,abroge,16,,null,null,undefined,,,,,,,,,,,,
21333,2011140-0007,2011-05-20,2011-05-20,2011-09-15,abroge,41,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21333/ap%20s%C3%A9cheresse%20d%C3%A9partementale.pdf,null,null,undefined,,,,,,,,,,,,
21734,2011139-0008,2011-05-20,2011-05-19,2011-07-15,abroge,41,,null,null,undefined,,,,,,,,,,,,
21122,110529,2011-05-20,2011-05-19,2011-05-27,abroge,24,,null,null,undefined,,,,,,,,,,,,
21134,110535,2011-05-20,2011-05-19,2011-05-27,abroge,24,,null,null,undefined,,,,,,,,,,,,
21164,2011-DDT-SE-113,2011-05-20,2011-05-19,2011-07-10,abroge,91,,null,null,undefined,,,,,,,,,,,,
21312,2011138-0018,2011-05-20,2011-05-18,2011-06-22,abroge,26,,null,null,undefined,,,,,,,,,,,,
21809,1,2011-05-20,2011-05-19,2011-10-31,abroge,45,,null,null,undefined,,,,,,,,,,,,
21132,110533,2011-05-20,2011-05-19,2011-06-06,abroge,24,,null,null,undefined,,,,,,,,,,,,
21348,60-20/05/2011,2011-05-20,2011-05-20,2011-06-13,abroge,60,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21348/arr%C3%AAt%C3%A9%20restriction%2020%20mai%202011.pdf,null,null,undefined,,,,,,,,,,,,
21168,2011-DDT-SE-114,2011-05-20,2011-05-19,2011-07-27,abroge,91,,null,null,undefined,,,,,,,,,,,,
21116,2,2011-05-20,2011-05-19,2011-07-12,abroge,45,,null,null,undefined,,,,,,,,,,,,
21126,110531,2011-05-20,2011-05-19,2011-06-06,abroge,24,,null,null,undefined,,,,,,,,,,,,
21438,20-05-2011,2011-05-21,2011-05-20,2011-08-24,abroge,02,,null,null,undefined,21237,04-04-2007,2007-04-05,2012-04-19,,,,,,,,
21194,2011DDTSEPR239,2011-05-21,2011-05-20,2011-07-18,abroge,77,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21194/2011ddtsepr239_champiouest.pdf,null,null,undefined,,,,,,,,,,,,
21163,2011-DDT-SE-115,2011-05-21,2011-05-20,2011-07-11,abroge,91,,null,null,undefined,,,,,,,,,,,,
21191,2011DDTSEPR240,2011-05-21,2011-05-20,2011-07-18,abroge,77,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21191/2011ddtsepr240_lunain.pdf,null,null,undefined,,,,,,,,,,,,
21162,2011-10.336,2011-05-21,2011-05-20,2011-08-12,abroge,95,,null,null,undefined,21186,2010-8987,2010-06-29,2013-06-01,,,,,,,,
22194,Beauce1,2011-05-21,2011-05-20,2011-07-11,abroge,78,,null,null,undefined,,,,,,,,,,,,
21335,2011139-0012,2011-05-21,2011-05-19,2011-05-27,abroge,36,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21335/arrete%20%203%20du%2019%2005%202011%20enregistre.pdf,null,null,undefined,,,,,,,,,,,,
21367,2011139-0003,2011-05-22,2011-05-19,2011-07-15,abroge,28,,null,null,undefined,,,,,,,,,,,,
21193,2011DDTSEPR238,2011-05-22,2011-05-20,2011-07-15,abroge,77,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21193/2011ddtsepr238_fusin_4.pdf,null,null,undefined,,,,,,,,,,,,
21106,1,2011-05-23,2011-05-20,2011-06-06,abroge,09,,null,null,undefined,,,,,,,,,,,,
21372,4,2011-05-23,2011-05-23,2011-11-30,abroge,76,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21372/arr%C3%AAt%C3%A9%20s%C3%A9cheresse%20varenne%20sign%C3%A9%20le%2023%20mai%202011.pdf,null,null,undefined,21373,0,2010-06-29,2013-03-01,,,,,,,,
21158,2011-140-0001,2011-05-23,2011-05-20,2011-06-28,abroge,07,,null,null,undefined,22325,2010-169-9,2010-06-18,,,,,,,,,
21361,2011/BPUP/068,2011-05-23,2011-04-29,2011-05-23,abroge,44,,null,null,undefined,,,,,,,,,,,,
21449,2011-143-0001,2011-05-24,2011-05-23,2011-06-15,abroge,32,,null,null,undefined,21289,2004-07-06_Midouze,2004-07-06,,,,,,,,,
21152,2011-143-0003,2011-05-24,2011-05-23,2011-05-27,abroge,82,,null,null,undefined,,,,,,,,,,,,
21105,1,2011-05-25,2011-05-20,2011-06-13,abroge,31,,null,null,undefined,,,,,,,,,,,,
21165,1562,2011-05-25,2011-05-24,2011-08-01,abroge,52,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21165/ap_1562_24mai2011_alertetoutdept.pdf,null,null,undefined,,,,,,,,,,,,
22150,2011-02,2011-05-25,2011-05-25,2011-07-27,abroge,35,,null,null,undefined,,,,,,,,,,,,
21156,1,2011-05-25,2011-05-24,2011-06-06,abroge,33,https://regleau.s3.gra.perf.cloud.ovh.net/arrete-restriction/21156/arr%C3%AAt%C3%A9+du+24+mai+2011.pdf,null,null,undefined,,,,,,,,,,,,
21141,SPE-DDT N° 2011-04,2011-05-25,2011-05-24,2011-05-26,abroge,49,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21141/arr%C3%AAt%C3%A9%202011-04.pdf,null,null,undefined,,,,,,,,,,,,
21300,2011145-0010,2011-05-25,2011-05-25,2011-06-30,abroge,53,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21300/arrete_restriction.pdf,null,null,undefined,,,,,,,,,,,,
21154,2011/BPUP/068,2011-05-25,2011-05-23,2011-05-31,abroge,44,,null,null,undefined,,,,,,,,,,,,
21159,1562,2011-05-25,2011-05-24,2011-05-25,abroge,52,,null,null,undefined,,,,,,,,,,,,
21178,11-DDTM-449,2011-05-26,2011-05-25,2011-06-08,abroge,85,,null,null,undefined,,,,,,,,,,,,
21200,SPE-DDT N° 2011-04,2011-05-26,2011-05-24,2011-05-31,abroge,49,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21200/arr%C3%AAt%C3%A9%202011-04.pdf,null,null,undefined,,,,,,,,,,,,
21142,2011-1427,2011-05-26,2011-05-25,2011-06-24,abroge,40,,null,null,undefined,21258,2011-1426,2011-05-18,2011-09-30,,,,,,,,
21176,2011/DDT/SEPR/195,2011-05-26,2011-05-04,2011-11-16,abroge,77,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21176/arrete_cadre_champigny.pdf,null,null,undefined,,,,,,,,,,,,
21239,DEP-2011-146-4,2011-05-26,2011-05-26,2011-08-15,abroge,75,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21239/ap%20vigilance%20paris%2027mai2011.pdf,null,null,undefined,,,,,,,,,,,,
21181,20111146-0005,2011-05-26,2011-05-26,2011-08-16,abroge,74,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21181/arp_secheresse.pdf,null,null,undefined,,,,,,,,,,,,
21189,2011_81004Tescou,2011-05-27,2011-05-26,2011-06-07,abroge,81,,null,null,undefined,,,,,,,,,,,,
21241,2011/89,2011-05-27,2011-05-27,2011-08-15,abroge,92,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21241/ap%20vigilance%2092%2027mai11.pdf,null,null,undefined,21240,2010-79,2010-05-17,2013-03-01,,,,,,,,
21187,2011 810021Assou,2011-05-27,2011-05-26,2011-05-31,abroge,81,,null,null,undefined,,,,,,,,,,,,
21606,2011 81007EnGuibaud,2011-05-27,2011-05-26,2011-05-31,abroge,81,,null,null,undefined,,,,,,,,,,,,
21204,2011-0180,2011-05-27,2011-05-27,2011-10-31,abroge,55,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21204/apsignealertesaulxornain.odt,null,null,undefined,21222,2011-0179,2011-05-27,2017-07-19,,,,,,,,
21188,2011 810031Cérou,2011-05-27,2011-05-26,2011-05-31,abroge,81,,null,null,undefined,,,,,,,,,,,,
21250,110703,2011-05-28,2011-05-27,2011-06-06,abroge,24,,null,null,undefined,,,,,,,,,,,,
21251,110706,2011-05-28,2011-05-28,2011-06-06,abroge,24,,null,null,undefined,,,,,,,,,,,,
21336,2011146-0025,2011-05-28,2011-05-26,2011-06-03,abroge,36,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21336/arrete%204%20du%2026%2005%202011%20-%20enregistr%C3%A9.pdf,null,null,undefined,,,,,,,,,,,,
21252,110702,2011-05-28,2011-05-27,2011-06-06,abroge,24,,null,null,undefined,,,,,,,,,,,,
21249,110705,2011-05-28,2011-05-27,2011-06-30,abroge,24,,null,null,undefined,,,,,,,,,,,,
21224,2011147-0005,2011-05-28,2011-05-27,2011-06-06,abroge,47,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21224/arr_lede_interdiction_totale.pdf,null,null,undefined,23387,2002-162-51,2002-05-24,,,,,,,,,
21444,EAU-34-2011-LE-EP,2011-05-28,2011-05-26,2011-10-31,abroge,51,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21444/arrete%2026mai2011%20alerte%20saulx%20ornain-1.pdf,null,null,undefined,,,,,,,,,,,,
21226,2011147-0007,2011-05-28,2011-05-27,2011-06-07,abroge,47,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/21226/arr_tolzac_masse_prayssas_interdiction_totale.pdf,null,null,undefined,23387,2002-162-51,2002-05-24,,,,,,,,,
